"","college","gpa","label","SC","lon","lat"
"68","Albion College",3.23,"","MI",-84.7461565,42.2445426
"69","University of Michigan Anne Harbor",3.25,"","MI",-83.7382241,42.2780436
"70","Hope College",3.38,"","MI",-86.0999876,42.7873976
"71","St Olaf University",3.34,"","MN",-93.1836963,44.461154
"72","Macalester College",3.42,"Macalester(3.42)","MN",-93.1685031,44.93914
"73","University of Southern Mississippi",2.68,"","MS",-89.3357393,31.3310077
"74","Missouri Western State University",2.73,"","MO",-94.7899854,39.7594306
"75","University of Missouri",3.02,"","MO",-92.3277375,38.9403808
"76","Missouri State University",3.2,"","MO",-93.281232,37.2006291
"77","Drury University",3.2,"","MO",-93.2848048,37.2183595
"78","Rockhurst University",3.28,"","MO",-94.5734484,39.0308327
"79","University of Nebraska-Kearney",2.86,"","NE",-99.09492,40.700585
"80","University of Nebraska-Lincoln",3.07,"","NE",-96.7012424,40.7895543
"81","University of Nevada - Reno",2.94,"","NV",-119.8165741,39.5449693
"82","Dartmouth College",3.39,"","NH",-72.2886934,43.7044406
"83","Monmouth University",2.98,"","NJ",-74.004775,40.279984
"84","Rutgers University",3.01,"","NJ",-74.4317893,40.4786708
"85","Ocean County College",3.11,"","NJ",-74.1661884,40.0077218
"86","The College of New Jersey",3.23,"","NJ",-74.78091,40.2688352
"87","Princeton University",3.27,"","NJ",-74.6514481,40.3439888
"88","Queensborough Community College",2.38,"","NY",-73.7563598,40.7557584
"89","SUNY-Oswego",2.74,"","NY",-76.152682,43.0500451
"90","Columbia University",3.42,"","NY",-73.9625727,40.8075355
"91","Central Piedmont Community College",2.75,"","NC",-80.8304392,35.2173998
"92","University of North Carolina - Greensboro",2.89,"","NC",-79.7690098,36.0767762
"93","Appalachian State University",2.93,"","NC",-81.6773538,36.2107892
"94","Western Carolina University",3.04,"","NC",-83.1749457,35.3085505
"95","Elon University",3.11,"","NC",-79.504406,36.1050559
"96","Wake Forest University",3.21,"","NC",-80.2814496,36.1298424
"97","Duke University",3.42,"","NC",-91.649501,41.9197689
"98","University of North Carolina - Asheville",3.03,"","NC",-82.5661828,35.6162709
"99","University of North Carolina - Chapel Hill",3.16,"","NC",-79.0544907,35.904617
"100","University of North Dakota",2.92,"","ND",-97.0768014,47.922891
"101","Minot State University",2.95,"Minot State Univ.(2.95)","ND",-101.3016827,48.2451133
"102","University of North Florida",2.97,"","FL",-81.5086549,30.2711707
"103","Bowling Green University",2.84,"","OH",-83.6300826,41.3797788
"104","Wright State University",2.89,"","OH",-84.0633028,39.7804196
"105","Ohio State University",3.01,"","OH",-83.0309143,40.0141905
"106","Miami University of Ohio",3.05,"","OH",-84.7308768,39.5105334
"107","Case Western Reserve University",3.24,"","OH",-81.6083838,41.5043413
"108","Grinnell College",3.31,"","OH",-92.7191666,41.7508439
"109","Oregon State University",2.91,"","OR",-123.2794442,44.5637806
"110","Portland State University",3.08,"","OR",-122.6842093,45.51233
"111","Reed College",3.2,"","OR",-122.6300908,45.4805713
"112","Clarion University",2.82,"","PA",-79.3789371,41.208392
"113","Penn State University",3.07,"","PA",-77.8599084,40.7982133
"114","Lehigh University",3.13,"","PA",-75.3782832,40.6069087
"115","Villa Nova University",3.18,"","PA",-75.3373504,40.0349011
"116","Bucknell University",3.4,"","PA",-76.8849629,40.9551414
"117","Brown University",3.59,"Brown Univ.(3.59)","RI",-71.4025482,41.8267718
"118","Furman University",3.2,"","SC",-82.4391367,34.9245893
"119","Vanderbilt University",3.28,"","TN",-86.8026551,36.1447034
"120","Victory College (Texas)",2.68,"","TX",-97.1657665,31.516294
"121","Texas State University",2.82,"","TX",-97.938351,29.888411
"122","Texas A&M - Kingsville",2.93,"","TX",-99.9018131,31.9685988
"123","Texas A&M - Main Campus",2.95,"Texas A&M(2.95)","TX",-99.9018131,31.9685988
"124","Southern Methodist University",3.11,"","TX",-96.7845175,32.8412178
"125","University of Utah",3.07,"","UT",-111.8421021,40.7649368
"126","Utah State University",3.09,"","UT",-111.8097425,41.745161
"127","Southern Utah University",3.21,"","UT",-113.0671663,37.6771396
"128","Hampden-Sydney College",2.74,"","VA",-78.460986,37.241039
"129","Roanoke College",2.77,"","VA",-80.0552431,37.2961019
"130","Virginia Tech",3.02,"","VA",-80.4234167,37.2283843
"131","University of Virginia",3.21,"","VA",-78.5079772,38.0335529
"132","Washington and Lee University",3.27,"","VA",-79.4445139,37.7915097
"133","Washington State University",2.96,"","WA",-117.1544219,46.7319374
"134","Whitman College",3.41,"","WA",-118.3298993,46.0715857
"135","University of Washington",3.18,"UWA(3.18)","WA",-122.3035199,47.6553351
"136","George Washington University",3.27,"","DC",-77.0485992,38.8997145
"137","Georgetown University",3.42,"","DC",-77.0722585,38.9076089
"138","Wheeling Jesuit University",3.24,"","WV",-80.6917301,40.0695625
"139","University of Wisconsin - Milwaukee",2.91,"","WI",-87.8819686,43.078263
"140","University of Wisconsin - Madison",3.21,"","WI",-89.4124875,43.076592
